Polymer Index,type_A,type_B1,type_B2,type_C,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,block_sequence_experimental,dpn,Target,NMR,GPC,clogP,Dispersity,MIC_PAO1,MIC_PA,MIC_EC,MIC_AB,MIC_SA,MIC_MSmeg,MIC_PAO1_PA
47,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.0,0.10000000000000003,0.2,,,40,7612,5600.0,12700.0,-5.2,1.08,128.0,,,,128.0,128.0,128
48,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.2,0.0,0.1,,,40,8100,6800.0,12300.0,-1.6,1.09,128.0,,,,128.0,128.0,128
49,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.13,0.07000000000000003,0.1,,,40,7933,6900.0,12500.0,-2.4,1.08,128.0,,,,128.0,128.0,128
50,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.07,0.13000000000000003,0.1,,,40,7768,6400.0,12100.0,-3.2,1.09,128.0,,,,128.0,128.0,128
51,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.0,0.20000000000000004,0.1,,,40,7604,5500.0,11800.0,-4.1,1.08,128.0,,,,128.0,128.0,128
52,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.3,0.0,0.0,,,40,8341,7200.0,11800.0,0.9,1.09,128.0,,,,128.0,128.0,128
53,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.2,0.10000000000000003,0.0,,,40,8092,7200.0,11700.0,-0.4,1.09,128.0,,,,128.0,128.0,128
54,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.1,0.20000000000000004,0.0,,,40,7844,7000.0,11700.0,-1.6,1.08,128.0,,,,128.0,128.0,128
55,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.0,0.30000000000000004,0.0,,,40,7596,5300.0,11600.0,-2.9,1.09,128.0,,,,128.0,128.0,128
56,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.0,0.0,0.5,,,40,6826,6000.0,14900.0,-6.6,1.1,128.0,,,,128.0,128.0,128
57,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.17,0.0,0.33,,,40,7226,6500.0,13600.0,-2.4,1.1,128.0,,,,128.0,128.0,128
58,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.11,0.06,0.33,,,40,7088,6000.0,15100.0,-3.2,1.1,128.0,,,,128.0,128.0,128
59,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.06,0.10999999999999999,0.33,,,40,6950,5100.0,15200.0,-3.8,1.09,128.0,,,,128.0,128.0,128
60,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.0,0.16999999999999998,0.33,,,40,6812,5200.0,14700.0,-4.6,1.11,128.0,,,,128.0,128.0,128
61,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.33,0.0,0.17,,,40,7628,7600.0,12400.0,1.4,1.1,64.0,,,,128.0,128.0,64
62,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.22,0.11000000000000001,0.17,,,40,7352,6500.0,12600.0,0.1,1.11,64.0,,,,128.0,128.0,64
63,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.11,0.22,0.17,,,40,7076,4700.0,13700.0,-1.3,1.11,128.0,,,,128.0,128.0,128
64,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.0,0.32999999999999996,0.17,,,40,6800,4600.0,13400.0,-2.7,1.1,128.0,,,,128.0,128.0,128
65,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.5,0.0,0.0,,,40,8028,7300.0,12000.0,5.6,1.11,128.0,,,,128.0,128.0,128
66,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.33,0.16999999999999998,0.0,,,40,7614,5900.0,11400.0,3.4,1.1,32.0,,,,128.0,128.0,32
67,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.17,0.32999999999999996,0.0,,,40,7201,5100.0,11200.0,1.4,1.09,32.0,,,,128.0,128.0,32
68,Boc-AEAm,PEAm,NIPAm,HEAm,0.5,0.0,0.5,0.0,,,40,6787,4700.0,12100.0,-0.7,1.1,128.0,,,,128.0,128.0,128
69,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.0,0.0,0.7,,,40,6033,5800.0,16100.0,-6.7,1.1,128.0,,,,128.0,128.0,128
70,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.23,0.0,0.47,,,40,6594,5900.0,15600.0,-1.1,1.13,128.0,,,,128.0,128.0,128
71,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.16,0.06999999999999995,0.47,,,40,6402,5300.0,15700.0,-2.0,1.12,128.0,,,,128.0,128.0,128
72,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.08,0.15000000000000002,0.47,,,40,6208,5000.0,15500.0,-3.0,1.11,128.0,,,,128.0,128.0,128
73,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.0,0.22999999999999998,0.47,,,40,6015,4500.0,16100.0,-4.0,1.1,128.0,,,,128.0,128.0,128
74,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.47,0.0,0.23,,,40,7155,5900.0,12600.0,4.7,1.1,128.0,,,,128.0,128.0,128
